	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family
0	https://www.sinergiawolfender.org/jlw/V100001	Polygonaceae	Rheum	Rheum palmatum	117.0	856.0	3695.0
1	https://www.sinergiawolfender.org/jlw/V100002	Lauraceae	Laurus	Laurus nobilis	304.0	321.0	7451.0
2	https://www.sinergiawolfender.org/jlw/V100003	Boraginaceae	Symphytum	Symphytum officinale	95.0	157.0	1830.0
3	https://www.sinergiawolfender.org/jlw/V100004	Malvaceae	Tilia	Tilia petiolaris	0.0	122.0	3518.0
4	https://www.sinergiawolfender.org/jlw/V100005	Myrtaceae	Psidium	Psidium guajava	339.0	385.0	9739.0
5	https://www.sinergiawolfender.org/jlw/V100006	Icacinaceae	Mappia	Mappia foetida	8.0	8.0	156.0
6	https://www.sinergiawolfender.org/jlw/V100007	Lamiaceae	Glechoma	Glechoma hederacea	51.0	69.0	45837.0
7	https://www.sinergiawolfender.org/jlw/V100008	Linaceae	Linum	Linum sp. (node not in ott3.3)	0.0	453.0	493.0
8	https://www.sinergiawolfender.org/jlw/V100009	Saururaceae	Houttuynia	Houttuynia cordata	223.0	223.0	593.0
9	https://www.sinergiawolfender.org/jlw/V100010	Asteraceae	Helichrysum	Helichrysum arenarium	207.0	1656.0	96094.0
10	https://www.sinergiawolfender.org/jlw/V100011	Cupressaceae	Cupressus	Cupressus sempervirens	141.0	258.0	7223.0
11	https://www.sinergiawolfender.org/jlw/V100012	Cupressaceae	Juniperus	Juniperus communis	404.0	2336.0	7223.0
12	https://www.sinergiawolfender.org/jlw/V100013	Rubiaceae	Geophila	Geophila obvallata	0.0	0.0	10467.0
13	https://www.sinergiawolfender.org/jlw/V100014	Euphorbiaceae	Alchornea	Alchornea sp. (node not in ott3.3)	0.0	59.0	12356.0
14	https://www.sinergiawolfender.org/jlw/V100015	Fabaceae	Styphnolobium	Styphnolobium japonicum	301.0	301.0	59372.0
15	https://www.sinergiawolfender.org/jlw/V100016	Bixaceae	Bixa	Bixa orellana	72.0	72.0	115.0
16	https://www.sinergiawolfender.org/jlw/V100017	Aphloiaceae	Aphloia	Aphloia theaeformis	0.0	6.0	6.0
17	https://www.sinergiawolfender.org/jlw/V100018	0	0	0	0.0	0.0	0.0
18	https://www.sinergiawolfender.org/jlw/V100019	Caprifoliaceae	Valeriana	Valeriana officinalis	682.0	1582.0	3385.0
19	https://www.sinergiawolfender.org/jlw/V100020	0	0	0	0.0	0.0	0.0
20	https://www.sinergiawolfender.org/jlw/V100021	Cunoniaceae	Weinmannia	Weinmannia rutenbergii	0.0	0.0	67.0
21	https://www.sinergiawolfender.org/jlw/V100022	Rosaceae	Fragaria	Fragaria sp. (node not in ott3.3)	0.0	39.0	10608.0
22	https://www.sinergiawolfender.org/jlw/V100023	Rubiaceae	Fleroya	Fleroya stipulosa	23.0	77.0	10467.0
23	https://www.sinergiawolfender.org/jlw/V100024	Arecaceae	Serenoa	Serenoa repens	75.0	75.0	782.0
24	https://www.sinergiawolfender.org/jlw/V100025	Adoxaceae	Viburnum	Viburnum lantana	20.0	926.0	1300.0
25	https://www.sinergiawolfender.org/jlw/V100026	Liliaceae	Fritillaria	Fritillaria verticillata	26.0	982.0	1711.0
26	https://www.sinergiawolfender.org/jlw/V100027	Onagraceae	Oenothera	Oenothera biennis	70.0	546.0	1189.0
27	https://www.sinergiawolfender.org/jlw/V100028	Cyanobacteria	Anabaena	Anabaena sp. (node not in ott3.3)	0.0	0.0	0.0
28	https://www.sinergiawolfender.org/jlw/V100029	Celastraceae	Celastrus	Celastrus paniculatus	71.0	732.0	6064.0
29	https://www.sinergiawolfender.org/jlw/V100030	Asteraceae	Artemisia	Artemisia annua	968.0	9199.0	96094.0
30	https://www.sinergiawolfender.org/jlw/V100031	Passifloraceae	Passiflora	Passiflora incarnata	151.0	808.0	1064.0
31	https://www.sinergiawolfender.org/jlw/V100032	Fabaceae	Melilotus	Melilotus officinalis	51.0	396.0	59372.0
32	https://www.sinergiawolfender.org/jlw/V100033	Eucommiaceae	Eucommia	Eucommia ulmoides	202.0	202.0	202.0
33	https://www.sinergiawolfender.org/jlw/V100034	Malvaceae	Gossypium	Gossypium barbadense	32.0	406.0	3518.0
34	https://www.sinergiawolfender.org/jlw/V100035	Apocynaceae	Voacanga	Voacanga africana	38.0	71.0	18617.0
35	https://www.sinergiawolfender.org/jlw/V100036	Ericaceae	Calluna	Calluna vulgaris	72.0	72.0	4820.0
36	https://www.sinergiawolfender.org/jlw/V100037	Fabaceae	Indigofera	Indigofera tinctoria	8.0	165.0	59372.0
37	https://www.sinergiawolfender.org/jlw/V100038	Celastraceae	Monteverdia	Monteverdia laevis	95.0	923.0	6064.0
38	https://www.sinergiawolfender.org/jlw/V100039	Meliaceae	Turraea	Turraea sp. (node not in ott3.3)	0.0	270.0	9000.0
39	https://www.sinergiawolfender.org/jlw/V100040	Ginkgoaceae	Ginkgo	Ginkgo biloba	894.0	894.0	894.0
40	https://www.sinergiawolfender.org/jlw/V100041	Vitaceae	Vitis	Vitis vinifera	1613.0	2091.0	2607.0
41	https://www.sinergiawolfender.org/jlw/V100042	Polygonaceae	Polygonum	Polygonum cuspidatum	0.0	134.0	3695.0
42	https://www.sinergiawolfender.org/jlw/V100043	Fabaceae	Pterocarpus	Pterocarpus indicus	7.0	286.0	59372.0
43	https://www.sinergiawolfender.org/jlw/V100044	Salvadoraceae	Azima	Azima tetracantha	20.0	20.0	49.0
44	https://www.sinergiawolfender.org/jlw/V100045	Solanaceae	Capsicum	Capsicum frutescens	0.0	870.0	13616.0
45	https://www.sinergiawolfender.org/jlw/V100046	Alismataceae	Echinodorus	Echinodorus macrophyllus	42.0	74.0	623.0
46	https://www.sinergiawolfender.org/jlw/V100047	Pedaliaceae	Uncarina	Uncarina decaryi	0.0	0.0	637.0
47	https://www.sinergiawolfender.org/jlw/V100048	Sapindaceae	Sapindus	Sapindus trifoliatus	18.0	184.0	2733.0
48	https://www.sinergiawolfender.org/jlw/V100049	Quillajaceae	Quillaja	Quillaja saponaria	9.0	13.0	13.0
49	https://www.sinergiawolfender.org/jlw/V100050	Zingiberaceae	Curcuma	Curcuma longa	538.0	2647.0	8074.0
50	https://www.sinergiawolfender.org/jlw/V100051	Fabaceae	Hymenaea	Hymenaea courbaril	35.0	71.0	59372.0
51	https://www.sinergiawolfender.org/jlw/V100052	Apiaceae	Ligusticum	Ligusticum striatum	39.0	752.0	14930.0
52	https://www.sinergiawolfender.org/jlw/V100053	Asteraceae	Tanacetum	Tanacetum parthenium	414.0	1708.0	96094.0
53	https://www.sinergiawolfender.org/jlw/V100054	Orobanchaceae	Rehmannia	Rehmannia glutinosa	416.0	416.0	2368.0
54	https://www.sinergiawolfender.org/jlw/V100055	Moringaceae	Moringa	Moringa oleifera	39.0	56.0	56.0
55	https://www.sinergiawolfender.org/jlw/V100056	Menispermaceae	Triclisia	Triclisia gilletii	16.0	50.0	4695.0
56	https://www.sinergiawolfender.org/jlw/V100057	Parmeliaceae	Evernia	Evernia prunastri	73.0	93.0	1268.0
57	https://www.sinergiawolfender.org/jlw/V100058	Malpighiaceae	Tristellateia	Tristellateia madagascariensis	0.0	0.0	342.0
58	https://www.sinergiawolfender.org/jlw/V100059	Cannabaceae	Celtis	Celtis mildbraedii	0.0	39.0	1805.0
59	https://www.sinergiawolfender.org/jlw/V100060	Apocynaceae	Cabucala	Cabucala sp. (node not in ott3.3)	0.0	0.0	18617.0
60	https://www.sinergiawolfender.org/jlw/V100061	Asteraceae	Chrysanthemum	Chrysanthemum indicum	183.0	699.0	96094.0
61	https://www.sinergiawolfender.org/jlw/V100062	Fabaceae	Glycyrrhiza	Glycyrrhiza glabra	788.0	2281.0	59372.0
62	https://www.sinergiawolfender.org/jlw/V100063	Malvaceae	Thespesia	Thespesia populnea	61.0	77.0	3518.0
63	https://www.sinergiawolfender.org/jlw/V100064	Calceolariaceae	Calceolaria	Calceolaria stricta	0.0	188.0	188.0
64	https://www.sinergiawolfender.org/jlw/V100065	Colchicaceae	Gloriosa	Gloriosa superba	46.0	46.0	846.0
65	https://www.sinergiawolfender.org/jlw/V100066	Cupressaceae	Thuja	Thuja occidentalis	190.0	358.0	7223.0
66	https://www.sinergiawolfender.org/jlw/V100067	Euphorbiaceae	Mallotus	Mallotus philippinensis	32.0	824.0	12356.0
67	https://www.sinergiawolfender.org/jlw/V100068	Lamiaceae	Melissa	Melissa officinalis	183.0	183.0	45837.0
68	https://www.sinergiawolfender.org/jlw/V100069	Lamiaceae	Leonurus	Leonurus sibiricus	54.0	334.0	45837.0
69	https://www.sinergiawolfender.org/jlw/V100070	Asteraceae	Chromolaena	Chromolaena odorata	222.0	424.0	96094.0
70	https://www.sinergiawolfender.org/jlw/V100071	Fabaceae	Sophora	Sophora sp. (node not in ott3.3)	0.0	2884.0	59372.0
71	https://www.sinergiawolfender.org/jlw/V100072	Theaceae	Camellia	Camellia sinensis	1434.0	2290.0	2404.0
72	https://www.sinergiawolfender.org/jlw/V100073	Combretaceae	Terminalia	Terminalia catappa	111.0	750.0	1467.0
73	https://www.sinergiawolfender.org/jlw/V100074	Rubiaceae	Uncaria	Uncaria tomentosa	269.0	1131.0	10467.0
74	https://www.sinergiawolfender.org/jlw/V100075	Malvaceae	Pavonia	Pavonia rubra	0.0	21.0	3518.0
75	https://www.sinergiawolfender.org/jlw/V100076	Euphorbiaceae	Euphorbia	Euphorbia hirta	143.0	6081.0	12356.0
76	https://www.sinergiawolfender.org/jlw/V100077	Lycopodiaceae	Palhinhaea	Palhinhaea cernua	119.0	238.0	3096.0
77	https://www.sinergiawolfender.org/jlw/V100078	Fabaceae	Chadsia	Chadsia sp. (node not in ott3.3)	0.0	1.0	59372.0
78	https://www.sinergiawolfender.org/jlw/V100079	Salicaceae	Salix	Salix alba	49.0	909.0	2946.0
79	https://www.sinergiawolfender.org/jlw/V100080	Cordiaceae	Cordia	Cordia dewevrei	0.0	392.0	484.0
80	https://www.sinergiawolfender.org/jlw/V100081	Myrtaceae	Syzygium	Syzygium cumini	130.0	857.0	9739.0
81	https://www.sinergiawolfender.org/jlw/V100082	Fabaceae	Griffonia	Griffonia sp. (node not in ott3.3)	0.0	3.0	59372.0
82	https://www.sinergiawolfender.org/jlw/V100083	Fabaceae	Haematoxylum	Haematoxylum campechianum	38.0	48.0	59372.0
83	https://www.sinergiawolfender.org/jlw/V100084	Capparaceae	Buchholzia	Buchholzia coriacea	0.0	0.0	494.0
