CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6509	6616	1	0.7518	14.016
6587	6616	1	0.8338	-14.015
6587	6631	1	0.8161	-162.054
3353	11709	2	0.7097	-0.000
369	3350	2	0.7587	-0.167
2353	9957	2	0.7018	0.038
6038	9189	2	0.7046	0.036
3350	3353	2	0.7418	0.073
6038	6542	2	0.7953	-0.001
8463	12363	2	0.7919	0.044
6038	10629	2	0.7313	0.043
369	3353	2	0.7075	-0.094
369	11238	2	0.7414	0.036
3353	10127	2	0.7345	0.094
3350	11238	2	0.727	0.203
1550	9957	2	0.9035	-0.054
369	8463	2	0.7309	0.002
8463	10127	2	0.7142	-0.002
2353	6038	2	0.7318	0.059
6038	8463	2	0.7055	0.984
3350	10127	2	0.7298	0.167
369	10127	2	0.8891	-0.000
1550	2353	2	0.7566	-0.092
1550	3032	2	0.7026	-0.056
2533	2978	3	0.8015	-13.979
2533	2544	3	0.8657	42.011
2533	11230	3	0.7888	13.979
3935	4048	4	0.9368	42.010
6026	6072	5	0.8176	14.016
5405	7712	6	0.9228	-0.001
7712	11588	6	0.9799	0.000
7712	7731	6	0.9617	0.000
5636	7731	6	0.9123	-0.008
7705	7712	6	0.9799	-0.000
7705	7814	6	0.8825	0.000
5405	7731	6	0.9123	-0.001
7705	7731	6	0.9388	-0.000
7814	11588	6	0.9131	0.000
5405	11588	6	0.9433	-0.001
5636	7712	6	0.9228	-0.008
5636	7705	6	0.9333	-0.008
7731	11588	6	0.9414	0.000
5636	11588	6	0.9433	-0.008
5405	5636	6	1.0	0.007
7705	11588	6	0.9841	0.000
5405	7705	6	0.9333	-0.001
783	1180	8	0.7721	0.000
13085	13086	9	0.9552	-0.001
9250	13872	9	0.8687	15.994
3716	13143	9	0.8781	-14.015
9250	13084	9	0.8974	-14.016
13155	13256	9	0.9267	-210.090
13263	13265	9	0.8607	-47.005
5238	9250	9	0.9856	0.001
13209	13265	9	0.9269	-204.115
13084	13143	9	0.9201	-224.104
13084	13155	9	0.9673	0.001
9250	13099	9	0.8767	-12.037
13099	13209	9	0.8826	0.000
2142	10322	9	0.9912	-0.000
2142	13155	9	0.9054	-14.015
10322	13872	9	0.8676	15.995
13084	13256	9	0.9238	-210.089
2142	9250	9	0.9755	0.001
10322	13155	9	0.8975	-14.015
13209	13264	9	0.9327	-0.073
3716	13086	9	0.8881	-28.033
13085	13155	9	0.8956	238.122
2142	13099	9	0.8812	-12.037
5238	13099	9	0.877	-12.037
13085	13143	9	0.9738	14.017
3716	13256	9	0.8793	0.000
5238	13084	9	0.8985	-14.016
5238	13872	9	0.8704	15.995
13172	13257	9	0.9177	56.026
13086	13143	9	0.9562	14.018
5385	13872	9	0.8698	-15.995
13172	13263	9	0.946	-17.027
5238	13155	9	0.9006	-14.015
10322	13084	9	0.9004	-14.016
13172	13300	9	0.8911	-13.979
2142	5238	9	0.9859	-0.000
13086	13155	9	0.8981	238.123
13085	13256	9	0.9709	28.032
5385	5400	9	0.8794	-42.011
13099	13155	9	0.9062	-1.978
2142	13084	9	0.907	-14.016
13143	13155	9	0.9205	224.105
9250	10322	9	0.9774	-0.001
13084	13099	9	0.9083	1.979
9250	13155	9	0.9005	-14.016
10322	13099	9	0.8723	-12.036
13264	13265	9	0.8726	-204.043
3716	13085	9	0.8769	-28.031
13086	13256	9	0.9604	28.033
13084	13086	9	0.8851	-238.122
13099	13172	9	0.9027	-140.083
13084	13085	9	0.8913	-238.121
13099	13265	9	0.9579	-204.115
2701	5400	9	0.9121	0.036
13257	13275	9	0.891	-13.980
13275	13300	9	0.9004	-56.026
13143	13256	9	0.9835	14.015
2142	13872	9	0.8736	15.995
13172	13265	9	0.9238	-64.032
5238	10322	9	0.9874	-0.000
14787	14871	10	0.795	56.025
10004	14698	10	0.88	-14.018
10004	14883	10	0.7779	27.011
10004	14805	10	0.7573	-36.989
14716	14782	10	0.7683	-432.187
14745	14748	10	0.7475	16.000
10004	14755	10	0.774	434.617
14735	14855	10	0.7416	-36.987
14735	14745	10	0.7701	-15.994
10004	14765	10	0.7671	-2.019
14745	14787	10	0.7691	-78.997
14735	14748	10	0.748	0.006
14698	14883	10	0.7788	41.029
14698	14787	10	0.8518	-36.987
10004	14745	10	0.8246	27.993
14716	14755	10	0.9071	0.472
9412	14735	10	0.7545	-2.015
9402	10004	10	0.751	10.023
9402	14698	10	0.7567	-3.995
9402	14745	10	0.74	38.016
14698	14745	10	0.842	42.011
10004	14787	10	0.7524	-51.005
14755	14782	10	0.7806	-432.659
14805	14871	10	0.7894	42.010
14787	14805	10	0.8265	14.015
14698	14782	10	0.8256	15.976
10004	14716	10	0.7401	434.145
14698	14755	10	0.76	448.635
14787	14855	10	0.7704	58.004
14805	14883	10	0.766	64.001
14745	14883	10	0.8409	-0.982
1156	5110	11	0.8964	14.016
5110	11829	11	0.9299	-43.042
11820	11829	11	0.9411	442.307
5110	11820	11	0.9122	-485.349
1790	5085	12	0.9404	-122.038
2646	3024	12	1.0	-0.011
2582	8842	12	0.9219	105.077
2582	2662	12	0.9605	-28.031
2387	2759	12	0.9342	-104.027
2410	2414	12	0.9245	24.985
5495	5512	12	0.9265	-33.984
7661	7782	12	0.9312	22.042
1790	5155	12	0.9425	-0.001
2517	8842	12	0.9504	62.014
2603	7818	12	0.9611	122.037
2501	2507	12	0.939	-10.022
2504	3024	12	0.9397	-9.958
2662	2778	12	0.9286	77.048
2021	2027	12	0.9497	-39.939
2471	2687	12	0.9586	-42.011
1790	5065	12	0.9352	-97.054
2017	2027	12	0.9338	-2.941
5453	5477	12	0.9467	-17.027
2517	2778	12	0.9385	5.953
2034	2100	12	0.95	33.984
664	2017	12	0.9546	-17.028
2759	4732	12	0.9592	139.064
2759	7859	12	0.9305	19.969
4895	5085	12	0.9604	-0.001
7768	7846	12	0.9217	19.967
2507	5453	12	0.9432	-18.010
1600	7782	12	0.9362	-20.007
2034	2061	12	0.9487	51.011
2017	2100	12	0.9505	14.016
5016	5034	12	0.9225	122.037
2401	5016	12	0.9302	60.022
5065	5085	12	0.9453	-24.984
2517	5085	12	0.9528	-60.022
2052	2104	12	0.9608	19.967
2617	5477	12	0.945	-10.021
2759	5155	12	0.938	139.063
1790	4843	12	0.9478	-60.020
4777	5085	12	0.9403	-60.022
4964	5453	12	0.9439	59.037
